tau	PRB	PRL	PRP	PRPD
TRINITY_DN252698_c0_g1	1	0	0	0	1
TRINITY_DN252710_c0_g1	1	0	0	0	1
TRINITY_DN252748_c1_g1	1	0	0	0	1
TRINITY_DN252755_c5_g4	1	0	0	0	1
TRINITY_DN252755_c6_g1	1	0	0	0	1
TRINITY_DN252830_c0_g1	1	0	0	0	1
TRINITY_DN252832_c0_g1	1	0	0	0	1
TRINITY_DN252849_c0_g2	1	0	0	0	1
TRINITY_DN252869_c0_g2	1	0	0	0	1
TRINITY_DN252908_c0_g1	1	0	0	0	1
TRINITY_DN252908_c0_g2	1	0	0	0	1
TRINITY_DN252941_c1_g5	1	0	0	0	1
TRINITY_DN252964_c0_g1	1	0	0	0	1
TRINITY_DN253016_c0_g1	1	0	0	0	1
TRINITY_DN253027_c0_g2	1	0	0	0	1
TRINITY_DN253036_c0_g1	1	0	0	0	1
TRINITY_DN253049_c0_g1	1	0	0	0	1
TRINITY_DN253053_c0_g1	1	0	0	0	1
TRINITY_DN253065_c0_g2	1	0	0	0	1
TRINITY_DN253143_c0_g1	1	0	0	0	1
TRINITY_DN253175_c0_g1	1	0	0	0	1
TRINITY_DN253180_c2_g1	1	0	0	0	1
TRINITY_DN253180_c2_g2	1	0	0	0	1
TRINITY_DN253235_c1_g3	1	0	0	0	1
TRINITY_DN253252_c2_g1	1	0	0	0	1
TRINITY_DN253283_c0_g1	1	0	0	0	1
TRINITY_DN253378_c0_g4	1	0	0	0	1
TRINITY_DN253397_c1_g2	1	0	0	0	1
TRINITY_DN253453_c0_g1	1	0	0	0	1
TRINITY_DN253460_c0_g1	1	0	0	0	1
TRINITY_DN253497_c0_g3	1	0	0	0	1
TRINITY_DN253521_c0_g1	1	0	0	0	1
TRINITY_DN253556_c0_g1	1	0	0	0	1
TRINITY_DN253565_c3_g2	1	0	0	0	1
TRINITY_DN253570_c0_g1	1	0	0	0	1
TRINITY_DN253590_c0_g1	1	0	0	0	1
TRINITY_DN253604_c0_g1	1	0	0	0	1
TRINITY_DN253617_c0_g1	1	0	0	0	1
TRINITY_DN253675_c0_g1	1	0	0	0	1
TRINITY_DN253676_c0_g1	1	0	0	0	1
TRINITY_DN253691_c0_g1	1	0	0	0	1
TRINITY_DN253703_c0_g3	1	0	0	0	1
TRINITY_DN253708_c1_g2	1	0	0	0	1
TRINITY_DN253752_c0_g1	1	0	0	0	1
TRINITY_DN253776_c0_g1	1	0	0	0	1
TRINITY_DN253783_c0_g2	1	0	0	0	1
TRINITY_DN253785_c7_g3	1	0	0	0	1
TRINITY_DN253803_c0_g1	1	0	0	0	1
TRINITY_DN253804_c0_g1	1	0	0	0	1
TRINITY_DN253852_c6_g13	1	0	0	0	1
TRINITY_DN253900_c0_g1	1	0	0	0	1
TRINITY_DN253901_c0_g1	1	0	0	0	1
TRINITY_DN253946_c1_g4	1	0	0	0	1
TRINITY_DN253976_c0_g1	1	0	0	0	1
TRINITY_DN253995_c0_g1	1	0	0	0	1
TRINITY_DN254041_c0_g2	1	0	0	0	1
TRINITY_DN254045_c1_g2	1	0	0	0	1
TRINITY_DN254049_c0_g1	1	0	0	0	1
TRINITY_DN254053_c0_g1	1	0	0	0	1
TRINITY_DN254054_c2_g1	1	0	0	0	1
TRINITY_DN254060_c0_g1	1	0	0	0	1
TRINITY_DN254063_c0_g1	1	0	0	0	1
TRINITY_DN254074_c0_g1	1	0	0	0	1
TRINITY_DN254150_c0_g2	1	0	0	0	1
TRINITY_DN254160_c0_g1	1	0	0	0	1
TRINITY_DN254197_c1_g1	1	0	0	0	1
TRINITY_DN254201_c1_g1	1	0	0	0	1
TRINITY_DN254204_c0_g1	1	0	0	0	1
TRINITY_DN254204_c0_g2	1	0	0	0	1
TRINITY_DN254209_c1_g2	1	0	0	0	1
TRINITY_DN254223_c1_g1	1	0	0	0	1
TRINITY_DN254231_c0_g1	1	0	0	0	1
TRINITY_DN254251_c0_g1	1	0	0	0	1
TRINITY_DN254272_c0_g3	1	0	0	0	1
TRINITY_DN254273_c2_g1	1	0	0	0	1
TRINITY_DN254299_c5_g13	1	0	0	0	1
TRINITY_DN254316_c0_g1	1	0	0	0	1
TRINITY_DN254322_c1_g1	1	0	0	0	1
TRINITY_DN254323_c4_g6	1	0	0	0	1
TRINITY_DN254347_c1_g7	1	0	0	0	1
TRINITY_DN254366_c0_g1	1	0	0	0	1
TRINITY_DN254370_c0_g1	1	0	0	0	1
TRINITY_DN254370_c0_g2	1	0	0	0	1
TRINITY_DN254379_c0_g1	1	0	0	0	1
TRINITY_DN254422_c2_g4	1	0	0	0	1
TRINITY_DN254427_c1_g1	1	0	0	0	1
TRINITY_DN254435_c0_g1	1	0	0	0	1
TRINITY_DN254466_c1_g1	1	0	0	0	1
TRINITY_DN254479_c9_g16	1	0	0	0	1
TRINITY_DN254479_c9_g4	1	0	0	0	1
TRINITY_DN254492_c9_g7	1	0	0	0	1
TRINITY_DN254576_c1_g2	1	0	0	0	1
TRINITY_DN255316_c0_g1	1	0	0	0	1
TRINITY_DN256469_c0_g1	1	0	0	0	1
TRINITY_DN259341_c0_g1	1	0	0	0	1
TRINITY_DN259343_c0_g1	1	0	0	0	1
TRINITY_DN260048_c0_g1	1	0	0	0	1
TRINITY_DN277627_c0_g1	1	0	0	0	1
TRINITY_DN27810_c0_g1	1	0	0	0	1
TRINITY_DN279308_c0_g1	1	0	0	0	1
TRINITY_DN283268_c0_g2	1	0	0	0	1
TRINITY_DN284179_c0_g1	1	0	0	0	1
TRINITY_DN285072_c0_g1	1	0	0	0	1
TRINITY_DN311072_c1_g1	1	0	0	0	1
TRINITY_DN312526_c0_g2	1	0	0	0	1
TRINITY_DN314233_c0_g1	1	0	0	0	1
TRINITY_DN324370_c0_g1	1	0	0	0	1
TRINITY_DN331680_c0_g1	1	0	0	0	1
TRINITY_DN336167_c4_g5	1	0	0	0	1
TRINITY_DN34067_c0_g1	1	0	0	0	1
TRINITY_DN342440_c0_g1	1	0	0	0	1
TRINITY_DN350017_c0_g1	1	0	0	0	1
TRINITY_DN363106_c0_g1	1	0	0	0	1
TRINITY_DN363431_c2_g4	1	0	0	0	1
TRINITY_DN363571_c0_g7	1	0	0	0	1
TRINITY_DN364409_c0_g12	1	0	0	0	1
TRINITY_DN364438_c0_g1	1	0	0	0	1
TRINITY_DN364777_c0_g1	1	0	0	0	1
TRINITY_DN3707_c3_g5	1	0	0	0	1
TRINITY_DN390848_c0_g13	1	0	0	0	1
TRINITY_DN395461_c0_g1	1	0	0	0	1
TRINITY_DN397002_c1_g1	1	0	0	0	1
TRINITY_DN404937_c0_g1	1	0	0	0	1
TRINITY_DN43663_c0_g1	1	0	0	0	1
TRINITY_DN47919_c0_g1	1	0	0	0	1
TRINITY_DN52571_c0_g1	1	0	0	0	1
TRINITY_DN52759_c0_g2	1	0	0	0	1
TRINITY_DN54758_c0_g1	1	0	0	0	1
TRINITY_DN54758_c0_g2	1	0	0	0	1
TRINITY_DN54775_c0_g1	1	0	0	0	1
TRINITY_DN59776_c0_g2	1	0	0	0	1
TRINITY_DN64510_c0_g1	1	0	0	0	1
TRINITY_DN67400_c0_g2	1	0	0	0	1
TRINITY_DN68866_c0_g1	1	0	0	0	1
TRINITY_DN70588_c0_g1	1	0	0	0	1
TRINITY_DN75318_c0_g1	1	0	0	0	1
TRINITY_DN76992_c0_g1	1	0	0	0	1
TRINITY_DN81800_c0_g1	1	0	0	0	1
TRINITY_DN89651_c0_g1	1	0	0	0	1
TRINITY_DN90515_c0_g1	1	0	0	0	1
TRINITY_DN93711_c0_g1	1	0	0	0	1
