tau	PRB	PRL	PRP	PRPD
TRINITY_DN245753_c1_g1	1	1	0	0	0
TRINITY_DN245779_c0_g1	1	1	0	0	0
TRINITY_DN245812_c0_g1	1	1	0	0	0
TRINITY_DN245816_c0_g2	1	1	0	0	0
TRINITY_DN245830_c0_g1	1	1	0	0	0
TRINITY_DN245855_c0_g1	1	1	0	0	0
TRINITY_DN245855_c0_g2	1	1	0	0	0
TRINITY_DN245855_c0_g4	1	1	0	0	0
TRINITY_DN245919_c0_g1	1	1	0	0	0
TRINITY_DN245989_c1_g1	1	1	0	0	0
TRINITY_DN246005_c0_g1	1	1	0	0	0
TRINITY_DN246046_c0_g1	1	1	0	0	0
TRINITY_DN246059_c0_g1	1	1	0	0	0
TRINITY_DN246068_c0_g1	1	1	0	0	0
TRINITY_DN246084_c0_g2	1	1	0	0	0
TRINITY_DN246125_c1_g2	1	1	0	0	0
TRINITY_DN246190_c0_g2	1	1	0	0	0
TRINITY_DN246218_c0_g1	1	1	0	0	0
TRINITY_DN246221_c1_g2	1	1	0	0	0
TRINITY_DN246228_c1_g1	1	1	0	0	0
TRINITY_DN246251_c0_g1	1	1	0	0	0
TRINITY_DN246255_c0_g1	1	1	0	0	0
TRINITY_DN246270_c0_g1	1	1	0	0	0
TRINITY_DN246293_c0_g1	1	1	0	0	0
TRINITY_DN246294_c19_g1	1	1	0	0	0
TRINITY_DN246300_c0_g1	1	1	0	0	0
TRINITY_DN246367_c0_g1	1	1	0	0	0
TRINITY_DN246529_c0_g2	1	1	0	0	0
TRINITY_DN246578_c0_g1	1	1	0	0	0
TRINITY_DN246586_c0_g2	1	1	0	0	0
TRINITY_DN246590_c0_g1	1	1	0	0	0
TRINITY_DN246638_c1_g1	1	1	0	0	0
TRINITY_DN246667_c1_g1	1	1	0	0	0
TRINITY_DN246667_c2_g1	1	1	0	0	0
TRINITY_DN246667_c2_g2	1	1	0	0	0
TRINITY_DN246706_c59_g27	1	1	0	0	0
TRINITY_DN246706_c59_g74	1	1	0	0	0
TRINITY_DN246724_c0_g1	1	1	0	0	0
TRINITY_DN246733_c0_g1	1	1	0	0	0
TRINITY_DN246755_c0_g1	1	1	0	0	0
TRINITY_DN246819_c0_g1	1	1	0	0	0
TRINITY_DN246821_c0_g1	1	1	0	0	0
TRINITY_DN246842_c0_g1	1	1	0	0	0
