tau	PRB	PRP	PRPD
TRINITY_DN246712_c0_g1	1	0	0	1
TRINITY_DN246752_c7_g1	1	0	0	1
TRINITY_DN246753_c2_g2	1	0	0	1
TRINITY_DN246828_c2_g1	1	0	0	1
TRINITY_DN246835_c0_g1	1	0	0	1
TRINITY_DN246870_c2_g1	1	0	0	1
TRINITY_DN246870_c2_g22	1	0	0	1
TRINITY_DN246930_c3_g13	1	0	0	1
TRINITY_DN246930_c3_g7	1	0	0	1
TRINITY_DN246973_c0_g1	1	0	0	1
TRINITY_DN247005_c0_g1	1	0	0	1
TRINITY_DN247073_c1_g7	1	0	0	1
TRINITY_DN247103_c2_g8	1	0	0	1
TRINITY_DN247193_c0_g1	1	0	0	1
TRINITY_DN247233_c0_g2	1	0	0	1
TRINITY_DN247250_c0_g1	1	0	0	1
TRINITY_DN247251_c0_g1	1	0	0	1
TRINITY_DN247262_c0_g1	1	0	0	1
TRINITY_DN247325_c0_g1	1	0	0	1
TRINITY_DN247325_c0_g2	1	0	0	1
TRINITY_DN247339_c0_g1	1	0	0	1
TRINITY_DN247376_c0_g2	1	0	0	1
TRINITY_DN247611_c0_g1	1	0	0	1
TRINITY_DN247627_c0_g1	1	0	0	1
TRINITY_DN247705_c0_g1	1	0	0	1
TRINITY_DN247912_c1_g1	1	0	0	1
TRINITY_DN247935_c4_g1	1	0	0	1
TRINITY_DN247947_c0_g1	1	0	0	1
TRINITY_DN247975_c0_g1	1	0	0	1
TRINITY_DN248014_c0_g1	1	0	0	1
TRINITY_DN248364_c0_g2	1	0	0	1
TRINITY_DN248377_c0_g1	1	0	0	1
TRINITY_DN248495_c0_g2	1	0	0	1
TRINITY_DN248507_c0_g1	1	0	0	1
TRINITY_DN248514_c0_g1	1	0	0	1
TRINITY_DN248548_c0_g1	1	0	0	1
TRINITY_DN248560_c0_g1	1	0	0	1
TRINITY_DN248594_c0_g1	1	0	0	1
TRINITY_DN248670_c0_g2	1	0	0	1
TRINITY_DN248799_c1_g1	1	0	0	1
TRINITY_DN248799_c1_g2	1	0	0	1
TRINITY_DN248824_c0_g1	1	0	0	1
TRINITY_DN248839_c0_g2	1	0	0	1
TRINITY_DN248940_c0_g2	1	0	0	1
TRINITY_DN248948_c0_g1	1	0	0	1
TRINITY_DN248992_c0_g1	1	0	0	1
TRINITY_DN249071_c0_g2	1	0	0	1
TRINITY_DN249074_c22_g1	1	0	0	1
TRINITY_DN249115_c1_g2	1	0	0	1
TRINITY_DN249213_c0_g1	1	0	0	1
TRINITY_DN249216_c0_g1	1	0	0	1
TRINITY_DN249243_c0_g3	1	0	0	1
TRINITY_DN249278_c0_g5	1	0	0	1
TRINITY_DN249282_c0_g1	1	0	0	1
TRINITY_DN249331_c0_g1	1	0	0	1
TRINITY_DN249331_c0_g2	1	0	0	1
TRINITY_DN249412_c2_g4	1	0	0	1
TRINITY_DN249460_c4_g25	1	0	0	1
TRINITY_DN249523_c0_g1	1	0	0	1
TRINITY_DN249571_c0_g1	1	0	0	1
TRINITY_DN249585_c0_g1	1	0	0	1
TRINITY_DN249595_c0_g1	1	0	0	1
TRINITY_DN249640_c0_g1	1	0	0	1
TRINITY_DN249644_c0_g1	1	0	0	1
TRINITY_DN249650_c1_g1	1	0	0	1
TRINITY_DN249697_c0_g1	1	0	0	1
TRINITY_DN249697_c0_g2	1	0	0	1
TRINITY_DN249710_c0_g1	1	0	0	1
TRINITY_DN249756_c0_g2	1	0	0	1
TRINITY_DN249805_c0_g1	1	0	0	1
TRINITY_DN249870_c0_g1	1	0	0	1
TRINITY_DN249875_c0_g1	1	0	0	1
TRINITY_DN249888_c1_g1	1	0	0	1
TRINITY_DN249896_c0_g1	1	0	0	1
TRINITY_DN249913_c0_g1	1	0	0	1
TRINITY_DN249944_c0_g1	1	0	0	1
TRINITY_DN249968_c0_g1	1	0	0	1
TRINITY_DN249986_c0_g1	1	0	0	1
TRINITY_DN250018_c4_g1	1	0	0	1
TRINITY_DN250031_c0_g1	1	0	0	1
TRINITY_DN250037_c0_g1	1	0	0	1
TRINITY_DN250038_c0_g1	1	0	0	1
TRINITY_DN250045_c75_g119	1	0	0	1
TRINITY_DN250074_c0_g3	1	0	0	1
TRINITY_DN250083_c0_g1	1	0	0	1
TRINITY_DN250088_c0_g1	1	0	0	1
TRINITY_DN250104_c0_g2	1	0	0	1
TRINITY_DN250108_c0_g2	1	0	0	1
TRINITY_DN250123_c0_g1	1	0	0	1
TRINITY_DN250133_c0_g1	1	0	0	1
TRINITY_DN250164_c1_g1	1	0	0	1
TRINITY_DN250166_c0_g2	1	0	0	1
TRINITY_DN250166_c0_g3	1	0	0	1
TRINITY_DN250180_c0_g1	1	0	0	1
TRINITY_DN250191_c1_g1	1	0	0	1
TRINITY_DN250226_c0_g1	1	0	0	1
TRINITY_DN250254_c0_g1	1	0	0	1
TRINITY_DN250266_c9_g1	1	0	0	1
TRINITY_DN250271_c0_g1	1	0	0	1
TRINITY_DN250281_c0_g1	1	0	0	1
TRINITY_DN250281_c0_g2	1	0	0	1
TRINITY_DN250300_c0_g1	1	0	0	1
TRINITY_DN250328_c2_g1	1	0	0	1
TRINITY_DN250346_c0_g1	1	0	0	1
TRINITY_DN250349_c0_g1	1	0	0	1
TRINITY_DN250350_c0_g1	1	0	0	1
TRINITY_DN250401_c0_g3	1	0	0	1
TRINITY_DN250402_c0_g1	1	0	0	1
TRINITY_DN250416_c0_g1	1	0	0	1
TRINITY_DN250454_c0_g4	1	0	0	1
TRINITY_DN250478_c0_g1	1	0	0	1
TRINITY_DN250500_c0_g1	1	0	0	1
TRINITY_DN250527_c0_g1	1	0	0	1
TRINITY_DN250529_c0_g1	1	0	0	1
TRINITY_DN250535_c0_g1	1	0	0	1
TRINITY_DN250542_c0_g1	1	0	0	1
TRINITY_DN250553_c5_g15	1	0	0	1
TRINITY_DN250642_c0_g1	1	0	0	1
TRINITY_DN250643_c0_g3	1	0	0	1
TRINITY_DN250644_c4_g7	1	0	0	1
TRINITY_DN250646_c0_g1	1	0	0	1
TRINITY_DN250674_c0_g1	1	0	0	1
TRINITY_DN250719_c0_g1	1	0	0	1
TRINITY_DN250760_c1_g1	1	0	0	1
TRINITY_DN250840_c0_g1	1	0	0	1
TRINITY_DN250866_c0_g1	1	0	0	1
TRINITY_DN250875_c0_g1	1	0	0	1
