tau	PRB	PRL	PRP	PRPD
TRINITY_DN101796_c2_g1	1	0	1	0	0
TRINITY_DN101797_c0_g1	1	0	1	0	0
TRINITY_DN101800_c0_g1	1	0	1	0	0
TRINITY_DN101801_c0_g1	1	0	1	0	0
TRINITY_DN101802_c0_g2	1	0	1	0	0
TRINITY_DN101803_c0_g1	1	0	1	0	0
TRINITY_DN101805_c0_g1	1	0	1	0	0
TRINITY_DN101809_c0_g1	1	0	1	0	0
TRINITY_DN101812_c0_g1	1	0	1	0	0
TRINITY_DN101813_c0_g1	1	0	1	0	0
TRINITY_DN101825_c0_g1	1	0	1	0	0
TRINITY_DN101829_c0_g1	1	0	1	0	0
TRINITY_DN101830_c0_g1	1	0	1	0	0
TRINITY_DN101838_c0_g1	1	0	1	0	0
TRINITY_DN101847_c0_g1	1	0	1	0	0
TRINITY_DN101849_c0_g1	1	0	1	0	0
TRINITY_DN101853_c0_g1	1	0	1	0	0
TRINITY_DN101859_c0_g1	1	0	1	0	0
TRINITY_DN101865_c0_g2	1	0	1	0	0
TRINITY_DN101866_c0_g1	1	0	1	0	0
TRINITY_DN101876_c0_g1	1	0	1	0	0
TRINITY_DN101882_c0_g1	1	0	1	0	0
TRINITY_DN101888_c0_g1	1	0	1	0	0
TRINITY_DN10189_c0_g1	1	0	1	0	0
TRINITY_DN101893_c0_g1	1	0	1	0	0
TRINITY_DN101897_c0_g1	1	0	1	0	0
TRINITY_DN101901_c0_g1	1	0	1	0	0
TRINITY_DN101907_c0_g1	1	0	1	0	0
TRINITY_DN10192_c0_g1	1	0	1	0	0
TRINITY_DN101931_c0_g1	1	0	1	0	0
TRINITY_DN101939_c0_g1	1	0	1	0	0
TRINITY_DN10194_c0_g1	1	0	1	0	0
TRINITY_DN101955_c0_g1	1	0	1	0	0
TRINITY_DN101960_c0_g1	1	0	1	0	0
TRINITY_DN101961_c0_g1	1	0	1	0	0
TRINITY_DN101962_c0_g1	1	0	1	0	0
TRINITY_DN101970_c0_g1	1	0	1	0	0
TRINITY_DN101975_c0_g1	1	0	1	0	0
TRINITY_DN101985_c0_g1	1	0	1	0	0
TRINITY_DN101994_c0_g1	1	0	1	0	0
TRINITY_DN102011_c0_g1	1	0	1	0	0
TRINITY_DN102018_c0_g1	1	0	1	0	0
TRINITY_DN10202_c0_g1	1	0	1	0	0
TRINITY_DN102031_c0_g1	1	0	1	0	0
TRINITY_DN102040_c0_g1	1	0	1	0	0
TRINITY_DN102043_c0_g2	1	0	1	0	0
TRINITY_DN102045_c0_g1	1	0	1	0	0
TRINITY_DN102047_c0_g1	1	0	1	0	0
TRINITY_DN10205_c0_g1	1	0	1	0	0
TRINITY_DN10206_c0_g1	1	0	1	0	0
TRINITY_DN102071_c0_g1	1	0	1	0	0
TRINITY_DN102074_c0_g1	1	0	1	0	0
TRINITY_DN102074_c1_g1	1	0	1	0	0
TRINITY_DN102083_c0_g1	1	0	1	0	0
TRINITY_DN102096_c0_g2	1	0	1	0	0
TRINITY_DN102099_c0_g1	1	0	1	0	0
TRINITY_DN1021_c0_g1	1	0	1	0	0
TRINITY_DN102116_c0_g1	1	0	1	0	0
TRINITY_DN102119_c0_g2	1	0	1	0	0
TRINITY_DN102124_c0_g1	1	0	1	0	0
TRINITY_DN102125_c0_g2	1	0	1	0	0
TRINITY_DN102130_c0_g1	1	0	1	0	0
TRINITY_DN102131_c0_g1	1	0	1	0	0
TRINITY_DN102141_c0_g1	1	0	1	0	0
TRINITY_DN102146_c0_g1	1	0	1	0	0
TRINITY_DN102159_c0_g1	1	0	1	0	0
TRINITY_DN102163_c0_g1	1	0	1	0	0
TRINITY_DN102167_c0_g1	1	0	1	0	0
TRINITY_DN102194_c0_g1	1	0	1	0	0
TRINITY_DN102197_c0_g1	1	0	1	0	0
TRINITY_DN102203_c0_g1	1	0	1	0	0
TRINITY_DN10221_c0_g1	1	0	1	0	0
TRINITY_DN102211_c0_g1	1	0	1	0	0
TRINITY_DN102214_c0_g1	1	0	1	0	0
TRINITY_DN102214_c5_g1	1	0	1	0	0
TRINITY_DN10222_c0_g1	1	0	1	0	0
TRINITY_DN102221_c1_g1	1	0	1	0	0
TRINITY_DN102223_c0_g1	1	0	1	0	0
TRINITY_DN102225_c0_g1	1	0	1	0	0
TRINITY_DN102249_c0_g3	1	0	1	0	0
TRINITY_DN102258_c0_g1	1	0	1	0	0
TRINITY_DN102259_c0_g1	1	0	1	0	0
TRINITY_DN102278_c0_g1	1	0	1	0	0
TRINITY_DN102292_c0_g1	1	0	1	0	0
TRINITY_DN102294_c0_g1	1	0	1	0	0
TRINITY_DN102313_c0_g1	1	0	1	0	0
TRINITY_DN102316_c0_g1	1	0	1	0	0
TRINITY_DN102317_c1_g1	1	0	1	0	0
TRINITY_DN102317_c2_g1	1	0	1	0	0
TRINITY_DN102326_c0_g1	1	0	1	0	0
TRINITY_DN102331_c0_g1	1	0	1	0	0
TRINITY_DN102334_c0_g1	1	0	1	0	0
TRINITY_DN102335_c0_g1	1	0	1	0	0
TRINITY_DN102354_c0_g1	1	0	1	0	0
TRINITY_DN102364_c0_g1	1	0	1	0	0
TRINITY_DN102366_c0_g1	1	0	1	0	0
TRINITY_DN102372_c0_g1	1	0	1	0	0
TRINITY_DN102384_c1_g1	1	0	1	0	0
TRINITY_DN102394_c0_g1	1	0	1	0	0
TRINITY_DN1024_c0_g1	1	0	1	0	0
TRINITY_DN102401_c0_g1	1	0	1	0	0
TRINITY_DN102419_c0_g1	1	0	1	0	0
TRINITY_DN10242_c0_g1	1	0	1	0	0
TRINITY_DN102422_c0_g1	1	0	1	0	0
TRINITY_DN102425_c0_g1	1	0	1	0	0
TRINITY_DN102450_c0_g1	1	0	1	0	0
TRINITY_DN102455_c0_g1	1	0	1	0	0
TRINITY_DN102458_c0_g1	1	0	1	0	0
TRINITY_DN102462_c4_g1	1	0	1	0	0
TRINITY_DN102462_c4_g3	1	0	1	0	0
TRINITY_DN102476_c0_g1	1	0	1	0	0
TRINITY_DN102479_c0_g1	1	0	1	0	0
TRINITY_DN10249_c0_g1	1	0	1	0	0
TRINITY_DN102492_c0_g1	1	0	1	0	0
TRINITY_DN102499_c0_g1	1	0	1	0	0
TRINITY_DN102503_c0_g1	1	0	1	0	0
TRINITY_DN102508_c0_g1	1	0	1	0	0
TRINITY_DN102525_c0_g1	1	0	1	0	0
TRINITY_DN102542_c1_g3	1	0	1	0	0
TRINITY_DN102545_c0_g1	1	0	1	0	0
TRINITY_DN102547_c0_g1	1	0	1	0	0
TRINITY_DN10255_c0_g1	1	0	1	0	0
TRINITY_DN102556_c0_g1	1	0	1	0	0
TRINITY_DN102562_c0_g1	1	0	1	0	0
TRINITY_DN102598_c0_g1	1	0	1	0	0
TRINITY_DN1026_c0_g1	1	0	1	0	0
TRINITY_DN102602_c0_g1	1	0	1	0	0
TRINITY_DN102610_c0_g2	1	0	1	0	0
TRINITY_DN102610_c0_g3	1	0	1	0	0
TRINITY_DN102614_c0_g1	1	0	1	0	0
TRINITY_DN102616_c0_g1	1	0	1	0	0
TRINITY_DN102616_c0_g2	1	0	1	0	0
TRINITY_DN102617_c0_g1	1	0	1	0	0
TRINITY_DN102624_c1_g1	1	0	1	0	0
TRINITY_DN102627_c0_g1	1	0	1	0	0
