tau	PRB	PRP	PRPD
TRINITY_DN241331_c0_g1	1	1	0	0
TRINITY_DN241335_c0_g1	1	1	0	0
TRINITY_DN241429_c0_g1	1	1	0	0
TRINITY_DN241463_c0_g1	1	1	0	0
TRINITY_DN241596_c0_g2	1	1	0	0
TRINITY_DN241735_c0_g1	1	1	0	0
TRINITY_DN241882_c0_g1	1	1	0	0
TRINITY_DN241908_c0_g1	1	1	0	0
TRINITY_DN241911_c0_g1	1	1	0	0
TRINITY_DN242053_c0_g1	1	1	0	0
TRINITY_DN242088_c0_g1	1	1	0	0
TRINITY_DN242143_c0_g2	1	1	0	0
TRINITY_DN242143_c0_g3	1	1	0	0
TRINITY_DN242169_c0_g1	1	1	0	0
TRINITY_DN242207_c1_g1	1	1	0	0
TRINITY_DN242355_c0_g1	1	1	0	0
TRINITY_DN242406_c0_g2	1	1	0	0
TRINITY_DN242509_c0_g2	1	1	0	0
TRINITY_DN242539_c0_g1	1	1	0	0
TRINITY_DN242672_c1_g1	1	1	0	0
TRINITY_DN242708_c0_g1	1	1	0	0
TRINITY_DN242727_c1_g1	1	1	0	0
TRINITY_DN242765_c0_g2	1	1	0	0
TRINITY_DN242837_c0_g2	1	1	0	0
TRINITY_DN242842_c0_g3	1	1	0	0
TRINITY_DN242960_c0_g2	1	1	0	0
TRINITY_DN243027_c0_g1	1	1	0	0
TRINITY_DN243078_c0_g1	1	1	0	0
TRINITY_DN243117_c0_g1	1	1	0	0
TRINITY_DN243117_c0_g3	1	1	0	0
TRINITY_DN243141_c0_g1	1	1	0	0
TRINITY_DN243141_c0_g2	1	1	0	0
TRINITY_DN243359_c1_g2	1	1	0	0
TRINITY_DN243366_c0_g1	1	1	0	0
TRINITY_DN243402_c0_g1	1	1	0	0
TRINITY_DN243415_c0_g1	1	1	0	0
TRINITY_DN243438_c0_g1	1	1	0	0
TRINITY_DN243438_c1_g1	1	1	0	0
TRINITY_DN243519_c0_g1	1	1	0	0
TRINITY_DN243578_c0_g1	1	1	0	0
TRINITY_DN243581_c0_g1	1	1	0	0
TRINITY_DN243610_c0_g1	1	1	0	0
TRINITY_DN243612_c3_g1	1	1	0	0
TRINITY_DN243623_c0_g1	1	1	0	0
TRINITY_DN243625_c0_g1	1	1	0	0
TRINITY_DN243704_c0_g1	1	1	0	0
TRINITY_DN243709_c1_g2	1	1	0	0
TRINITY_DN243716_c0_g1	1	1	0	0
TRINITY_DN243768_c0_g1	1	1	0	0
TRINITY_DN243858_c0_g1	1	1	0	0
TRINITY_DN243869_c0_g1	1	1	0	0
TRINITY_DN243881_c0_g1	1	1	0	0
TRINITY_DN243923_c0_g1	1	1	0	0
TRINITY_DN243939_c0_g1	1	1	0	0
TRINITY_DN243942_c0_g1	1	1	0	0
TRINITY_DN243960_c0_g1	1	1	0	0
TRINITY_DN244030_c0_g1	1	1	0	0
TRINITY_DN244078_c0_g1	1	1	0	0
TRINITY_DN244089_c0_g1	1	1	0	0
TRINITY_DN244101_c0_g1	1	1	0	0
TRINITY_DN244121_c0_g1	1	1	0	0
TRINITY_DN244170_c0_g1	1	1	0	0
TRINITY_DN244172_c2_g2	1	1	0	0
TRINITY_DN244206_c44_g36	1	1	0	0
TRINITY_DN244208_c0_g1	1	1	0	0
TRINITY_DN244254_c0_g1	1	1	0	0
TRINITY_DN244255_c0_g2	1	1	0	0
TRINITY_DN244294_c0_g2	1	1	0	0
TRINITY_DN244314_c0_g1	1	1	0	0
TRINITY_DN244321_c0_g2	1	1	0	0
TRINITY_DN244342_c0_g1	1	1	0	0
TRINITY_DN244346_c0_g1	1	1	0	0
TRINITY_DN244348_c0_g1	1	1	0	0
TRINITY_DN244415_c0_g1	1	1	0	0
TRINITY_DN244442_c0_g1	1	1	0	0
TRINITY_DN244452_c1_g1	1	1	0	0
TRINITY_DN244469_c0_g2	1	1	0	0
TRINITY_DN244566_c0_g1	1	1	0	0
TRINITY_DN244574_c0_g2	1	1	0	0
TRINITY_DN244713_c0_g1	1	1	0	0
TRINITY_DN244746_c0_g1	1	1	0	0
TRINITY_DN244857_c0_g1	1	1	0	0
TRINITY_DN244858_c0_g1	1	1	0	0
TRINITY_DN244908_c0_g1	1	1	0	0
TRINITY_DN244932_c0_g1	1	1	0	0
TRINITY_DN244951_c0_g1	1	1	0	0
TRINITY_DN244986_c0_g2	1	1	0	0
